得意先[    100]-[ 200000] ＊＊ 得意先ﾌﾟﾙｰﾌﾘｽﾄ ＊＊ DATE : 2025/05/22(13:51),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
得意先CD,得意先名ｶﾅ,得意先名,得意先(略),郵便番号,住所1,住所2,E-mail,備考,電話番号,FAX番号,担当者CD,担当者名,請求先CD,売上区分,税区分(売掛),税端数(売掛),税区分(現金),税端数(現金),締ｸﾞﾙｰﾌﾟ,合計請求書,請求明細書,入金予定日,入金方法,単価管理,単価ｸﾞﾙｰﾌﾟ,掛率,金額端数,登録日,最終更新日
201,カブミチ（ハツボン,株式会社　みち(初盆御返礼品),株式会社　みち(初盆,,,,,,,,10,岩川,201,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2019/8/8,2024/9/5
203,ヨコヤマテンレイ,横山典礼　株式会社,横山典礼　株式会社,893-1206,肝属郡肝付町前田991,,,,0994-65-2844,,10,岩川,203,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,2 小切手,1 個別単価,,,2,2000/5/23,2024/9/5
211,ハナオカソウサイ,花岡葬祭.花岡会館,花岡葬祭,891-2322,鹿屋市古里町533,,,,0994-31-8444,0994-31-8445,10,岩川,211,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2004/6/3,2024/9/5
212,オチャノヤゴシ,お茶のやごし　矢越鉄次,お茶のやごし矢越鉄次,889-3204,宮崎県日南市南郷町中村乙6947-2,,,,0987－64－1630,0987－64－1656,10,岩川,212,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2012/2/27,2024/9/5
216,エヌイイディズ,合同会社Ｎｅｅｄｓ(さくらホール),合同会社Ｎｅｅｄｓ(,899-8604,鹿児島県曽於市末吉町諏訪方7919-3,,,旧さくらホール　　代表者山之内靖,0986-36-6980,0986-36-6981,10,岩川,216,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2014/10/23,2024/9/5
225,ヤッチク,特別養護老人ホームやっちく,特別養護老人ﾎｰﾑやっ,899-7602,鹿児島県志布志市松山町泰野字,松ヶ迫1111番地,,,,,10,岩川,225,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2016/7/30,2024/9/5
227,アスカ,福祉葬愛　あすか,福祉葬愛 あすか,888-0001,宮崎県串間市大字西方3838-1,,,,0987-55-7979,0987-55-7980,10,岩川,227,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2016/8/17,2024/9/5
229,カブミチ,株式会社　みち,株式会社 みち,893-0037,鹿児島県鹿屋市田崎町4567-1,,,,0994-40-8366,,10,岩川,229,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2016/10/28,2024/9/5
231,ジュウタクガタユウリョウロウジホームタカ,住宅型有料老人ホーム　貴崇,住宅型有料老人ﾎｰﾑ 貴,889-3203,宮崎県日南市南郷町谷之口,2384番地7,,,,,10,岩川,231,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2016/11/9,2024/9/5
232,ニチナンサクラエン　オウビカイ,日南さくら苑　櫻美会,日南さくら苑 櫻美会,887-0023,宮崎県日南市大字隈谷甲,878番地1,,,,,10,岩川,232,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2016/11/9,2024/9/5
233,カダン,株式会社　かだん,株式会社　かだん,899-8605,鹿児島県曽於市末吉町二之方5126,,,,0986-76-4424,0986-76-7255,10,岩川,233,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2016/11/30,2024/9/5
243,イケダヤ,株式会社　池田屋,株式会社　池田屋,893-0067,鹿児島県鹿屋市大浦町14042-4,,,,0994-44-4288,0994-44-4287,10,岩川,243,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2017/2/1,2024/9/5
252,アスカエン,社会福祉法人　龍口会　あすか園　,社会福祉法人 龍口会,888-0007,宮崎県串間市大字南方3431-5,,,,,,10,岩川,252,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2017/6/9,2024/9/5
253,ソウゴウソウサイ　メイムネジメカイカン,総合葬祭　メイム根占会館,総合葬祭 ﾒｲﾑ根占会館,893-2502,鹿児島県肝属郡南大隅町根占川南,3637番地(旧西海跡),,,,,10,岩川,253,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2017/7/18,2024/9/5
256,カミムラ（ヒキモノ,株式会社　ＫＡＭＩＭＵＲＡ(引き物),株式会社　ＫＡＭＩＭ,893-0022,鹿屋市旭原町3589-4,,,,,,10,岩川,256,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2017/7/26,2024/9/5
260,オチャノカイダ,お茶のかいだ,お茶のかいだ,889-3204,宮崎県日南市南郷町中村乙2482,,,,0987-64-2688,,10,岩川,260,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2017/12/22,2025/2/10
263,ビジネスホテル　ビロウ,ビジネスホテル　枇榔,ﾋﾞｼﾞﾈｽﾎﾃﾙ 枇榔,899-7103,志布志市志布志町志布志321-1,,,,,,10,岩川,263,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2018/4/15,2024/9/5
264,アベショウジ,阿部商事有限会社,阿部商事有限会社,899-7306,鹿児島県曽於郡大崎町永吉,8360番地,,,,,10,岩川,264,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,25,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2018/6/11,2024/9/5
265,アマミズ,株式会社　天水,株式会社 天水,899-7104,鹿児島県志布志市志布志町安楽,2035,,,099-472-3888,099-473-3644,10,岩川,265,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2018/7/12,2024/9/5
268,グリーンバード,州鵬会特別養護老人ホーム　グリーンバ－ド,州鵬会特別養護老人ホ,899-8511,鹿屋市輝北町市成2121-3,,,,099-485-1902,099-485-1903,10,岩川,268,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2018/8/29,2024/9/5
271,キュウシュウミソベコウサン,株式会社　九州みぞべ興産,株式会社 九州みぞべ,899-6401,鹿児島県霧島市溝辺町有川字池田,2356番地,,,0995-59-1111,0995-59-1100,10,岩川,271,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後22日払,3 振込,1 個別単価,,,3,2018/11/20,2024/9/5
272,フクシソウアイ　アスカ,福祉葬愛　あすか(会葬品外),福祉葬愛　あすか(会,888-0001,宮崎県串間市大字西方3838-1,,,,,,10,岩川,272,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2019/2/5,2024/9/5
278,カミムラ（コジンゲンキンウリ,株式会社 ＫＡＭＩＭＵＲＡ(個人　現金売),株式会社 ＫＡＭＩＭ,893-0022,鹿屋市旭原町3589-4,,,,,,10,岩川,278,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2019/7/26,2024/9/5
281,グリーンバード,州鵬会ﾃﾞｨｰｻｰﾋﾞｽｾﾝﾀｰ グリーンバ－ド,州鵬会ﾃﾞｨｰｻｰﾋﾞｽｾﾝﾀｰ,899-8511,鹿屋市輝北町市成2121-3,,,,099-485-1902,099-485-1903,10,岩川,281,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2019/10/23,2024/9/5
282,オオスミニチリンカン,州鵬会 おおすみ日輪館,州鵬会 おおすみ日輪,899-8511,鹿屋市輝北町市成2121-3,,,,099-485-1902,099-485-1903,10,岩川,282,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2019/10/23,2024/9/5
283,イチナリノヒビキ,州鵬会住宅型有料老人ホームいちなりの響,州鵬会住宅型有料老人,899-8511,鹿屋市輝北町市成2121-3,,,,099-485-1902,099-485-1903,10,岩川,283,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2019/10/23,2024/9/5
284,オアシス,株式会社　オアシス,株式会社 ｵｱｼｽ,899-8608,曽於市末吉町南之郷4354番地2,,,,0986-28-8146,,10,岩川,284,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/1/20,2024/9/5
285,コウボウジ,弘法寺,弘法寺,,,,,,,,10,岩川,285,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/2/29,2024/9/5
286,アイラシュビョウ,吾平種苗,吾平種苗,,,,,,,,10,岩川,286,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2020/2/29,2024/9/5
287,ハッピーサポート,株式会社　ハッピ－サポート,株式会社 ﾊｯﾋﾟ-ｻﾎﾟｰﾄ,899-7307,鹿児島県曽於郡大崎町持留1167-4,,,,099-476-0770,099-479-3760,10,岩川,287,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2021/12/17,2024/9/5
288,シュウホウカイ　クリニック,州鵬会　クリニック,州鵬会 ｸﾘﾆｯｸ,899-8511,鹿児島県鹿屋市輝北町市成2119-2,,,,099-485-1911,099-485-1909,10,岩川,288,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2022/11/17,2024/9/5
289,カミムラ（ソノタ,株式会社　ＫＡＭＩＭＵＲＡ（その他),株式会社　ＫＡＭＩＭ,893-0022,鹿屋市旭原町3589-4,,,,,,10,岩川,289,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/3/27,2024/9/5
290,スエヨシマゴコロエン,末吉まごころ園,末吉まごころ園,899-8605,鹿児島県曽於市末吉町二之方5380-1,,,,0986-28-8252,0986-76-7629,10,岩川,290,1 売掛,1 締時一括,3 切り上げ,3 明細単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/9/28,2023/9/28
300,オオスミエイギョウショ（コジン,大隅営業所(個人)売上,大隅営業所(個人)売上,,,,,,,,10,岩川,300,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2016/10/17,2024/9/5
301,チョクバイナカドメケ,直売(中留家),直売(中留家),,,,,,,,10,岩川,301,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2023/10/13,2024/9/5
302,チョクバイカワバタケ,直売(川田家),直売(川田家),,,,,,,,10,岩川,302,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2023/11/20,2024/9/5
303,チョクバイフクシゲケ,直売(福重家),直売(福重家),,,,,,,,10,岩川,303,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2023/11/27,2024/9/5
304,チョクバイハラグチケ,直売(原口家),直売(原口家),,,,,,,,10,岩川,304,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2023/12/14,2024/9/5
305,アケボノカイ,あけぼの会,あけぼの会,,,,,,,,10,岩川,305,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,3,2023/12/20,2023/12/20
306,ヤッチク,デイサ－ビスセンタ－やっちく,ディ－サ－ビスセンタ,899-7602,鹿児島県志布志市松山町泰野字松ヶ迫1111番地,,,,099-487-8188,099-487-8388,10,岩川,306,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後20日払,1 現金,1 個別単価,,,2,2024/2/24,2024/9/5
307,エムケ－ツ－,Ｍk2株式会社,Ｍk2株式会社,893-1206,鹿児島県肝属郡肝付町前田3795,,,,0994-36-8987,0994-36-8986,10,岩川,307,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/3/28,2024/9/5
308,グリ－ンファ－スト,グリ－ンファ－スト株式会社,ｸﾞﾘ-ﾝﾌｧ-ｽﾄ株式会社,893-0012,鹿屋市王子町3883-11,,,,0994-45-4968,0994-45-7925,10,岩川,308,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2024/4/10,2024/9/5
309,ユウゲンガイシャナゴミフクシカイアオイト,有限会社なごみ福祉会(青い鳥),有限会社なごみ福祉会,891-2321,鹿屋市古江町796-3,,,,0994-46-3083,0994-46-3056,10,岩川,309,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/5/10,2024/5/10
310,カブシキガイシャカミムラ,株式会社　ＫＡＭＩＭＵＲＡ(単カ－ド),株式会社　ＫＡＭＩＭ,893-0022,鹿屋市旭原町3589-4,,,,,,10,岩川,310,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2024/5/20,2024/5/20
311,チョクバイハタヤマケ,直売(畑山家),直売(畑山家),,,,,,,,10,岩川,311,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/5/25,2024/5/25
312,チョクバイモトムラケ,直売(本村家),直売(本村家),,,,,,,,10,岩川,312,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2024/11/27,2024/11/27
313,チョクバイミヤタケ,直売(宮田恭平),直売(宮田家),,,,,,,,10,岩川,313,1 売掛,2 伝票単位,3 切り上げ,2 伝票単位,1 四捨五入,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,1,2025/4/11,2025/4/20
10116,エビノコウゼンシャ,有限会社　えびの公善社,有限会社　えびの公善,889-4311,宮崎県えびの市大字大明司486-1,,,,,,200,津原,10116,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後31日払,4 手形,1 個別単価,,,2,2000/5/24,2024/9/5
10129,グランドパティオ,グランドパティオ都城,ｸﾞﾗﾝﾄﾞﾊﾟﾃｨｵ都城,885-0023,宮崎県都城市栄町3-2,,,,,,200,津原,10129,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後15日払,3 振込,1 個別単価,,,2,2001/2/17,2024/9/5
10147,クリエイトキカク,株式会社　クリエイト企画,株式会社　クリエイト,157-0073,東京都世田谷区砧2-4-27Ｍ2ビル4,,,,,,200,津原,10147,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,2,2005/5/31,2024/9/5
10160,サカモトソウサイ,有限会社　さかもと葬祭,有限会社　さかもと葬,899-4101,鹿児島県曽於市財部町南俣475-5,,,,0986-72-2244,0986-72-2249,200,津原,10160,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,1ヶ月後25日払,3 振込,1 個別単価,,,2,2001/4/25,2024/9/5
10161,サザナミカイカン,さざなみ会館,さざなみ会館,880-0121,宮崎市島之内7404-1,,,,,,200,津原,10161,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,2 小切手,1 個別単価,,,2,2002/10/3,2024/9/5
10163,オカシノショウエイドウ,株式会社　お菓子の昭栄堂,株式会社 お菓子の昭,885-0074,都城市甲斐元町1街区28号,,,,0986-51-4318,,200,津原,10163,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,3 振込,1 個別単価,,,1,2017/1/11,2024/9/5
10169,クリエイト経由,延岡メモリードホール,延岡ﾒﾓﾘｰﾄﾞﾎｰﾙ,882-0033,宮崎県延岡市川原崎町410番地,,,,,,200,津原,10147,1 売掛,1 締時一括,3 切り上げ,2 伝票単位,3 切り上げ,31,印刷する,印刷する,0ヶ月後 0日払,1 現金,1 個別単価,,,2,2005/5/31,2023/10/2
